31,333,145,1
31,333,145,1

43,493,841,1
43,493,903,21

382,743,919,62
610,22,197,161

83,550,903,1
19,619,957,132

19,619,957,132
19,619,957,132

6,45,318,45
6,45,318,45

6,45,318,45
31,360,1,1

83,550,903,1
19,619,957,132

19,619,957,132
19,619,957,132

43,258,903,1
43,258,903,1

43,258,903,1
197,814,138,194

19,619,1,0
19,619,1,0

19,619,1,0
190,633,270,155

19,619,1,0
19,534,24,52

190,633,1,0
190,633,1,0

190,633,1,0
190,633,1,0

190,633,1,0
190,633,1,0

190,633,1,0
190,633,1,0

190,633,1,0
329,849,46,55

13,469,34,799
13,469,34,799

13,348,34,799
190,633,1,0

13,469,34,799
13,348,34,799

13,348,34,799
13,469,34,799

13,348,34,799
13,348,34,799

13,348,34,799
13,469,34,799

329,633,270,1
190,633,1,0

329,633,270,1
190,633,1,0

329,633,270,1
190,633,1,0

329,633,270,1
13,348,34,799

329,633,270,1
13,348,34,799

329,633,270,1
13,348,34,799

329,633,270,1
13,348,34,799

329,633,0,23
329,633,270,1

329,633,0,23
329,633,270,1

329,633,0,23
329,633,270,1

329,633,0,23
329,633,270,1

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,23

329,633,0,23
329,633,0,31

864,570,23,20
633,630,23,3

633,630,23,3
98,415,370,354

329,633,849,31
221,84,287,325

329,633,849,31
221,84,287,325

329,633,849,31
329,633,0,23

329,633,849,31
329,633,0,23

329,665,849,31
329,633,849,31

329,665,849,31
329,633,849,31

329,633,849,31
329,633,849,31

329,633,849,31
329,633,849,31

329,633,849,31
329,633,849,31

329,633,849,31
329,633,849,31

975,50,2,23
61,420,522,927

61,420,522,927
975,50,2,23

61,420,522,927
665,633,849,31

665,633,849,31
329,633,336,31

61,420,522,927
665,633,849,31

665,633,849,31
665,633,849,31

665,633,849,31
665,633,849,31

665,633,849,31
665,633,849,31

665,633,849,31
665,633,849,31

665,633,849,31
665,633,849,31

665,633,849,31
665,633,849,31

665,633,849,31
665,633,849,31

665,837,849,31
167,633,849,31

167,633,849,31
676,724,257,695

665,633,849,31
665,633,849,31

665,633,849,31
665,633,849,31

482,633,849,31
436,633,849,31

436,633,849,31
482,633,849,31

436,633,849,31
436,633,849,31

436,633,849,31
482,633,849,31

436,633,849,31
436,633,849,31

436,633,849,31
436,633,849,31

436,633,849,31
436,633,849,31

436,633,849,31
436,463,849,31

436,633,849,31
436,633,849,31

436,633,849,31
436,633,849,31

436,633,849,31
436,633,849,31

436,633,849,31
436,633,849,31

436,633,866,31
436,633,866,31

436,633,866,31
412,169,849,31

436,169,849,31
436,633,866,31

436,633,866,31
436,633,849,31

350,633,866,31
436,633,849,31

350,633,866,31
436,633,849,31

350,633,866,31
412,169,866,31

350,633,866,31
412,169,866,31

317,633,866,31
350,633,866,31

350,633,866,31
659,393,324,969

350,633,866,31
317,633,866,31

317,633,866,31
350,633,866,31

350,633,866,31
350,633,866,31

350,633,866,31
350,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

648,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

317,633,866,31
317,633,866,31

648,633,866,31
317,633,866,31

648,633,866,31
317,633,866,31

648,633,866,31
648,633,866,31

648,633,866,31
648,633,866,31

648,633,866,31
648,633,866,31

648,633,866,31
648,633,866,31

648,633,866,31
648,592,866,31

648,592,866,31
648,633,866,6

648,633,866,31
648,633,866,31

648,633,866,31
648,633,866,31

648,633,866,31
648,633,866,31

648,633,866,31
648,592,866,31

648,592,866,31
648,633,866,6

648,633,866,6
648,633,866,31

648,633,217,31
868,510,320,402

633,698,31,48
622,824,549,248

622,824,549,248
